business_name,owner_name,email,phone,website,address_street,address_city,address_state,address_zip,lat,lng,certifications,services,years_in_business,insurance_verified,license_number,google_place_id,google_rating,google_reviews_count,business_status,inspector_category,data_source,collected_at,location_verified
MoldTeam Inspection Menlo Park,,,(650) 507-4213,,1035 El Camino Real,Palo Alto,CA,,37.4529917,-122.1824314,Inspector,Inspection Services,,false,,ChIJ0QeYIgClj4AR7-z5d8rwUTA,5,2,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:51.579Z,true
Palo Alto Building Inspection,,,(650) 329-2496,https://www.cityofpaloalto.org/Departments/Planning-Development-Services/Development-Services/Building-Division/Building-Inspection,285 Hamilton Ave # 1,Palo Alto,CA,,37.4451005,-122.1607792,Inspector,Inspection Services,,false,,ChIJrRb7gDm7j4ARMMhasnkc1jQ,2.8,9,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:51.939Z,true
Golden Gate Home Inspections,,,(415) 878-1331,https://goldengatehomeinspections.com/,201 Spear St #1100,Palo Alto,CA,,37.7913437,-122.3928159,ICA,Home Inspection,,false,,ChIJmZ9PUumBhYARMRZGZHsTfiw,5,315,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:52.295Z,true
The House Whisperer LLC,,,(800) 662-8589,https://eastbayhomeinspector.com/,566 Escondido Cir,Palo Alto,CA,,37.6662596,-121.7915514,ICA,Home Inspection,,false,,ChIJE34e3b_nj4ARcqQNsu4dIbw,5,185,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:52.660Z,true
Jeffrey Ferguson Inc,,,(650) 853-1139,,920 Palo Alto Ave,Palo Alto,CA,,37.45401269999999,-122.1552231,Inspector,Inspection Services,,false,,ChIJRxSKA0G7j4AR8ZErCmkZdq0,5,1,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:55.914Z,true
Keller Family Home Inspection,,,(650) 863-1939,,1943 Cedar St,Palo Alto,CA,,37.4904416,-122.2509039,Inspector,Home Inspection,,false,,ChIJg1nLE3ch7WERkXg1eZ61qjs,5,2,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:57.805Z,true
Preferred Property Inspection,,,(650) 483-8699,http://preferredpropertyinspection.net/,2262 Carmelita Dr,Palo Alto,CA,,37.50071639999999,-122.2765155,Inspector,Property Inspection,,false,,ChIJ2wkEq_qhj4AR2mBwhK61O-s,5,1,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:58.145Z,true
Sequoia Home Inspections,,,(415) 295-2277,https://www.sequoiahomeinspections.com/,11 Lodge Ln,Palo Alto,CA,,37.96575609999999,-122.535322,ICA,Home Inspection,,false,,ChIJPSLsCzwmUoYRUCNcnG_DAK8,5,43,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:23:04.030Z,true
Meissner Automotive,,,(650) 494-3804,http://www.meissnerautomotive.com/,811 E Charleston Rd,Palo Alto,CA,,37.42244600000001,-122.1045992,ICA,Inspection Services,,false,,ChIJY1eSbBO6j4ARGmpr4P5Q5PY,4.9,317,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:23:08.764Z,true
PALO ALTO AUTO CARE,,,(650) 494-1303,http://www.paloauto.net/,699 San Antonio Rd,Palo Alto,CA,,37.4162583,-122.1039115,Inspector,Inspection Services,,false,,ChIJw44r-Qy6j4ARpjfkOJZUF7E,4.8,40,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:23:09.127Z,true
Franz Termite Control,,,(650) 493-0445,http://franztermite.com/,4041 Transport St,Palo Alto,CA,,37.4255448,-122.0994791,Inspector,Inspection Services,,false,,ChIJk8mAtha6j4ARxPolZe4Eo3Y,3.7,11,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:13.817Z,true
Terminix,,,(650) 285-6739,https://www.terminix.com/exterminators/ca/menlo-park-212451/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=satellite_212451&utm_term=menlopark,1185 El Camino Real,Palo Alto,CA,,37.4539768,-122.1842611,Inspector,Inspection Services,,false,,ChIJwUMoNCqlj4ARV8Gxe_4e7JM,4.8,23,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:14.188Z,true
PURCOR Pest Solutions,,,(650) 820-9562,https://www.purcorpest.com/service-areas/california/redwood-city-ca/?utm_source=GBPListings&utm_medium=organic&utm_campaign=donovans-redwood-city,639 Bair Island Rd Suite 107,Palo Alto,CA,,37.49747660000001,-122.2257541,Inspector,Inspection Services,,false,,ChIJAQAAAASfj4ARZPJDX1GomgA,4.6,113,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:14.548Z,true
Vanguard Termite Control Inc,,,(510) 557-4918,https://www.vanguardtermite.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9071499369233079006,3102 Rolison Rd,Palo Alto,CA,,37.486051,-122.197818,Inspector,Inspection Services,,false,,ChIJSWXJU9f6yC4RKbHOVXqod8A,4.9,86,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:14.893Z,true
J & M Termite Control Inc,,,(650) 969-5556,http://jmtermite.com/,159 N Whisman Rd,Palo Alto,CA,,37.3926226,-122.0609593,Inspector,Termite Inspection,,false,,ChIJ4xRSChi3j4ARj95Yy7KCl_U,5,16,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:15.261Z,true
"Xpert Rodent Solutions - Pest Control Service, San Mateo County, California",,,(650) 248-4004,,450 Wavecrest Rd,Palo Alto,CA,,37.4470196,-122.4322092,Inspector,Inspection Services,,false,,ChIJKS2FdKRweKYRElk155cW6VQ,4.9,81,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:15.613Z,true
Horizon Termite Control Inc.,,,(650) 815-6661,http://www.horizontermite.com/,3545 Haven Ave,Palo Alto,CA,,37.4875561,-122.1888756,Inspector,Inspection Services,,false,,ChIJr6SGGirY56ARh7ibmE50P80,5,13,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:15.967Z,true
PURCOR Pest Solutions,,,(510) 999-9744,https://www.purcorpest.com/service-areas/california/hayward-ca/?utm_source=GBPListings&utm_medium=organic&utm_campaign=keystone-pest-control-hayward,28306 Industrial Blvd,Palo Alto,CA,,37.6185434,-122.0952207,Inspector,Inspection Services,,false,,ChIJSXPucJuWj4ARH7kEUVauY4w,4.9,446,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:16.312Z,true
Elite Bay Area Termite Control,,,(650) 394-4184,http://elitebayareatermite.com/,1318 Old County Rd,Palo Alto,CA,,37.518619,-122.27267,Inspector,Inspection Services,,false,,ChIJUVMe61N6j4ARXTwgKCZzAiM,5,10,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:16.673Z,true
All About Termite Solutions,,,(408) 921-0356,http://allabouttermitesolutions.com/,2660 John Montgomery Dr Suite 19,Palo Alto,CA,,37.3394732,-121.8208078,Inspector,Inspection Services,,false,,ChIJ14VfdLrLj4ARqF3xCUllnLA,5,38,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:17.028Z,true
"Thrasher Termite & Pest Control, Inc.",,,(408) 354-9944,https://thrasherpestcontrol.com/,17427 Farley Rd W,Palo Alto,CA,,37.2407175,-121.975189,Inspector,Termite Inspection,,false,,ChIJTSjCD5Q1joARd4EwIpzCuEA,4.8,219,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:17.377Z,true
Rodent Relief,,,(650) 709-3203,,1109 Laurel Ave,Palo Alto,CA,,37.4704033,-122.1519636,ASHI,Inspection Services,,false,,ChIJN9f_SRe7j4ARq1zwdT06BvI,5,3,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:17.713Z,true
Killroy Pest Control in Campbell,,,(408) 426-8607,https://killroy.com/,1175 Dell Ave,Palo Alto,CA,,37.269609,-121.9531639,Inspector,Inspection Services,,false,,ChIJfbNegAM1joARDRIjIzboucM,4.6,138,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:18.067Z,true
Complete Pest Control,,,(650) 839-9999,https://completepestcontrolredwoodcity.blogspot.com/,851A Shasta St,Palo Alto,CA,,37.479187,-122.2221213,Inspector,Inspection Services,,false,,ChIJw-pKsk6ij4ARSvh4eM0DYUE,4.1,12,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:18.419Z,true
"KELLY PETES PEST SERVICES, INC.",,,(408) 300-1897,,171 Main St Suite 246,Palo Alto,CA,,37.37901139999999,-122.1149753,Inspector,Inspection Services,,false,,ChIJC1TU1sMzjoARXMfie08qLvk,3.7,3,OPERATIONAL,Termite/Pest Inspectors,Google Maps Places API,2025-07-28T09:23:18.775Z,true
"Foundation Solutions, Inc",,,(408) 297-0123,http://foundationsolutions.com/,3052 Scott Blvd,Palo Alto,CA,,37.3766481,-121.9609992,ASHI; PE; SE,Inspection Services,,false,,ChIJt013Dn3Lj4ARcvOjYYKKpRQ,4.7,18,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:24.017Z,true
Peace of Mind Structural,,,(650) 343-3133,https://earthquakefoundation.com/,180 South Blvd,Palo Alto,CA,,37.55555349999999,-122.3111078,PE; SE; Structural Engineer,Inspection Services,,false,,ChIJU1dse2Gej4ARIY_7jd_k6x4,4.9,215,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:24.361Z,true
Foundation Inspection Services,,,(408) 354-4355,,Los Gatos,Palo Alto,CA,,37.2358078,-121.9623751,PE; SE,Foundation Inspection,,false,,ChIJ______M1joAR_iihCOV3f3Y,,,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:24.992Z,true
Palo Alto Foundation & Concrete Contractors,,,(650) 769-6890,,260 Sheridan Ave,Palo Alto,CA,,37.42632529999999,-122.1409849,PE; SE,Inspection Services,,false,,ChIJ8cLXO2G7j4ARL_bRvER5v3Y,4.7,31,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:25.346Z,true
Foundation Strategies and Construction Inc.,,,(408) 320-7433,https://www.foundationstrategiesinc.com/?utm_campaign=gmb,3141 Stevens Creek Blvd,Palo Alto,CA,,37.3240516,-121.9516414,PE; SE,Inspection Services,,false,,ChIJoT5IQSs1joARACC76E8dR7k,5,8,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:26.020Z,true
Groundworks,,,(408) 426-4952,https://www.groundworks.com/locations/groundworks-san-jose/groundworks-san-jose-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-sjc,1161 N Fair Oaks Ave,Palo Alto,CA,,37.4033135,-122.0108857,PE; SE,Inspection Services,,false,,ChIJ60lndd23j4ARy9F4bRKNFHM,4.7,95,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:26.367Z,true
Lemon Remodeling & Services INC,,,(408) 883-0191,https://lemonremodeling.com/,530 Lytton Ave # 200,Palo Alto,CA,,37.4493401,-122.1599696,SE,Inspection Services,,false,,ChIJjanAGpi7j4ARcohvHVpotdo,5,3,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:26.718Z,true
Greenberg Construction,,,(650) 430-2539,https://www.greenberg.construction/,904 Industrial Ave,Palo Alto,CA,,37.42216579999999,-122.0984328,PE; SE,Inspection Services,,false,,ChIJP0lmBUHpj4ARa8MqX0YZHDE,4.9,44,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:27.084Z,true
Hohbach-Lewin Inc.,,,(650) 617-5930,http://www.hohbach-lewin.com/,260 Sheridan Ave,Palo Alto,CA,,37.426356,-122.141048,Structural Engineer; Civil Engineer,Inspection Services,,false,,ChIJxeGx_O-6j4AR0NUjHk4v7Qw,5,5,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:29.565Z,true
RH Construction and Structural,,,(650) 722-8372,https://rhconstructionandstructural.com/,400 San Antonio Rd #2108,Palo Alto,CA,,37.4051788,-122.1119848,PE; SE,Inspection Services,,false,,ChIJ45NPZMXzpmURDKUX23_CCWY,5,19,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:30.259Z,true
Spacial AI - Civil / Structural / MEP Engineering,,,(650) 663-3339,https://www.spacial.io/,908 Industrial Ave unit c,Palo Alto,CA,,37.4224176,-122.0983441,PE; SE; Structural Engineer,Inspection Services,,false,,ChIJrQyB1mi7j4ARJ7Z-HqBfAOo,5,2,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:30.622Z,true
A C & H Civil Engineers,,,(650) 327-3900,,2443 Ash St ste h,Palo Alto,CA,,37.4264206,-122.1442118,Civil Engineer,Inspection Services,,false,,ChIJvSuwj-W6j4ARdP8Zf39s2GA,5,1,OPERATIONAL,Foundation/Structural Inspectors,Google Maps Places API,2025-07-28T09:23:30.959Z,true
SERVPRO of Palo Alto,,,(650) 800-3448,https://www.servpro.com/locations/ca/servpro-of-palo-alto?utm_medium=yext&utm_source=gmb,2225 E Bayshore Rd Suite 270,Palo Alto,CA,,37.44996499999999,-122.1209764,Inspector,Inspection Services,,false,,ChIJ_V3Ov7G7j4ARed8KKinhwEI,4.4,37,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:35.606Z,true
Reactic Restoration,,,(650) 501-0668,https://reacticrestoration.com/palo-alto/,407 California Ave Unit 10,Palo Alto,CA,,37.42631830000001,-122.1445689,Inspector,Asbestos Testing,,false,,ChIJe30uea67j4AREzqSAk0eIlk,5,12,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:36.271Z,true
"SERVPRO of Mountain View, Los Altos",,,(650) 770-2992,https://www.servpro.com/locations/ca/servpro-of-mountain-view-los-altos?utm_medium=yext&utm_source=gmb,1224 Alderwood Ave,Palo Alto,CA,,37.4046055,-121.9946314,Inspector,Inspection Services,,false,,ChIJJ5UNsfy3j4ARRmz6DMn35uo,5,122,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:37.601Z,true
Leader Restoration,,,(650) 899-6444,https://leaderestoration.com/,303 Twin Dolphin Dr 6th. Floor,Palo Alto,CA,,37.5235949,-122.2584414,Inspector,Inspection Services,,false,,ChIJG4xcaK6Yj4ARr3rtCpC7QTE,5,15,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:38.271Z,true
Hydro Hero Restoration,,,(650) 250-0290,http://www.hydroherorestoration.com/,1100 Sharon Park Dr,Palo Alto,CA,,37.4246278,-122.2181408,Inspector,Inspection Services,,false,,ChIJ7ad2Jnylj4ARic0o5dV0Ta0,5,23,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:38.922Z,true
SJ Mold Removal,,,(408) 543-2770,http://sjmoldremoval.com/,SANTANA HEIGHTS VIA,Palo Alto,CA,,37.3205,-121.948308,Inspector,Inspection Services,,false,,ChIJ5ZFLk9_Kj4ARvsbsY23mBdc,5,8,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:39.322Z,true
Reliance Construction,,,(650) 347-9100,http://www.reliance-const.com/,1080 Wentworth St,Palo Alto,CA,,37.3990866,-122.0848549,CIE,Inspection Services,,false,,ChIJkbVZRwOjj4ARqS_2FE3LDE4,4.7,46,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:39.664Z,true
ZGREEN Restoration,,,(650) 384-6258,https://www.zgreenrestoration.com/,770 Menlo Ave Suite #219,Palo Alto,CA,,37.4504531,-122.1840525,CIE,Inspection Services,,false,,ChIJK8Mgx7UcxwURtiYpoCFqWMs,5,6,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:40.030Z,true
Bay Area Mold Pros,,,(866) 982-4257,https://bayareamoldpros.com/,1420 Turk St,Palo Alto,CA,,37.7806923,-122.4329458,Inspector,Inspection Services,,false,,ChIJL3NKaPp5j4ARvf30M6jjExI,5,113,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:40.376Z,true
Reactic Restoration,,,(650) 264-9990,https://reacticrestoration.com/san-carlos/,110 Glenn Way Suite #13,Palo Alto,CA,,37.5144359,-122.2650325,Inspector,Inspection Services,,false,,ChIJTeteZZyZj4AREWyLlDnTZ3w,5,9,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:40.724Z,true
Restoration of Palo Alto,,,(209) 627-4666,,753 Oregon Ave,Palo Alto,CA,,37.43746169999999,-122.1320015,Inspector,Inspection Services,,false,,ChIJNzql2ra7j4AR1S5mFZINqzc,,,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:41.050Z,true
Good Housekeeping Inc.,,,(650) 573-1923,http://www.biocleanca.com/,1115 Himmel Ave,Palo Alto,CA,,37.45682379999999,-122.2214967,Inspector,Inspection Services,,false,,ChIJM3krQ4Kjj4ARHUKx9IKt8Ec,4.8,24,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:41.406Z,true
One Call Services,,,(510) 394-1606,https://www.one-call-services.com/,3269 Seldon Ct,Palo Alto,CA,,37.5192104,-121.9463152,CIE,Inspection Services,,false,,ChIJ_QIw7c6_j4ARuvI4jt59OlQ,4.8,55,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:41.775Z,true
Dansel Inc.,,,(408) 564-0152,https://danselrestoration.com/,1900 Camden Ave,Palo Alto,CA,,37.2613943,-121.9237111,CIE,Inspection Services,,false,,ChIJodMmGUY1joARLztdxsRx1sU,4.9,51,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:42.157Z,true
Radon California,,,(805) 244-6687,https://www.radon-california.com/,365 E Avenida De Los Arboles #1021,Palo Alto,CA,,34.2186987,-118.8703757,Inspector,Inspection Services,,false,,ChIJSfhMnmwx6IARkMlFuwIcN20,5,12,OPERATIONAL,Specialty Testing Inspectors,Google Maps Places API,2025-07-28T09:23:43.993Z,true
Commercial Property Inspection,,,(408) 205-5915,http://commercialinspection.company/,171 Main St,Palo Alto,CA,,37.37901139999999,-122.1149753,Inspector,Commercial Property Inspection,,false,,ChIJVVX0B--wj4ARjzUnSoCUM8s,,,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:23:52.474Z,true
Palo Alto Startup House of Silicon Valley,,,,http://www.startuphouse.co/,730 Moreno Ave,Palo Alto,CA,,37.4350151,-122.1298601,Inspector,Inspection Services,,false,,ChIJh6ORvRC7j4ARqsOEQQQ1lcA,4.9,49,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:23:59.509Z,true
"The Marc, Palo Alto",,,(650) 800-3382,https://www.themarc-pa.com/?utm_source=GBP&utm_medium=organic&utm_knock=g&cpm=google,501 Forest Ave,Palo Alto,CA,,37.4472616,-122.1568205,Inspector,Inspection Services,,false,,ChIJ9-jzuT67j4ARKy7ktiIeU7A,4.6,81,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:00.160Z,true
Palo Alto Place Apartments,,,(833) 715-3297,https://www.paloaltoplace.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,565 Arastradero Rd,Palo Alto,CA,,37.40864120000001,-122.1240939,Inspector,Inspection Services,,false,,ChIJt-nnEHy6j4ARSdeLV-3WIwQ,4.1,19,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:00.514Z,true
Los Altos City Building,,,(650) 947-2752,,1 N San Antonio Rd,Palo Alto,CA,,37.3816531,-122.1136191,Inspector,Inspection Services,,false,,ChIJ33KOk-6wj4AR34C9ywVTiUE,2.4,9,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:00.854Z,true
Parker Palo Alto Apartments,,,(650) 856-1977,https://www.parkerpaloalto.com/?p=1&nocache=1,1094 Tanland Dr,Palo Alto,CA,,37.4436795,-122.1202093,ASHI,Inspection Services,,false,,ChIJ_yeqKK27j4ARqT_VJNmzO_Q,3.8,80,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:01.218Z,true
City of Menlo Park Building Division,,,(650) 330-6704,https://menlopark.org/building,City Hall,Palo Alto,CA,,37.45362149999999,-122.1773648,ASHI,Inspection Services,,false,,ChIJVdZuBCqlj4ARvqqFwcCDuWk,2,4,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:02.157Z,true
Palo Alto Central,,,(650) 559-9020,,149 California Ave,Palo Alto,CA,,37.42833329999999,-122.1427778,Inspector,Inspection Services,,false,,ChIJZ-9JGuW6j4ARBwm2zkZLMN4,4,24,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:02.807Z,true
Mountain View Building Inspection,,,(650) 903-6313,https://developmentpermits.mountainview.gov/about-permits/schedule-your-inspections,500 Castro St #2,Palo Alto,CA,,37.3900526,-122.0822886,Inspector,Inspection Services,,false,,ChIJodN_GTO3j4AR4NA59AwLmBM,1.4,8,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:03.154Z,true
Atherton Building Department,,,(650) 752-0560,https://www.ci.atherton.ca.us/147/Building,80 Fair Oaks Ln,Palo Alto,CA,,37.4640117,-122.1985058,Inspector,Inspection Services,,false,,ChIJz8hwX2ejj4ARgBTvbS7glX0,5,2,OPERATIONAL,Commercial Building Inspectors,Google Maps Places API,2025-07-28T09:24:04.098Z,true
